"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int_140m","Phaeo_int_140m","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","O2_Winkler","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"04-Jun-2013","23:45","epwh","394006",100,0.0350038242473556,0.0596395157526444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.165,0.9035,6.145,0.17,1.0335
"04-Jun-2013","23:45","epwh","394005",143,0.0840091781936534,0.0794656818063467,NA,NA,NA,NA,NA,NA,6.455,NA,NA,"34.165718801220812",10.56,1.07,11.57,0,1.0185
"16-Jun-2013","09:03","HUDSON","394769",2,0.353059723880597,0.227792626119403,30.6466896828358,44.5898760071642,22.2283135410448,23.2086510839552,167,NA,NA,NA,NA,"30.811",0.26,0.3425,0.88,0.055,0.737
"16-Jun-2013","09:03","epwh","394768",10,0.452318507462687,0.271642392537313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.3615,0.795,0.055,0.6035
"16-Jun-2013","09:03","epwh","394767",20,0.590526940298507,0.352305859701493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,0.566,1.515,0.1,1.1225
"16-Jun-2013","09:03","epwh","394766",30,0.433471902985075,0.526197197014925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,0.703,2.535,0.16,2.1085
"16-Jun-2013","09:03","epwh","394765",40,0.4209075,0.7071246,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.757",4.93,0.7775,3.67,0.205,2.3765
"16-Jun-2013","09:03","epwh","394764",50,0.282699067164179,0.685388182835821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.245,0.5975,2.11,0.125,1.716
"16-Jun-2013","09:03","epwh","394763",60,0.0935153059701492,0.143915134029851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.465,0.8275,4.15,0.205,1.932
"16-Jun-2013","09:03","epwh","394762",80,0.108280880597015,0.168721299402985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.685,0.9845,6.04,0.215,1.7565
"16-Jun-2013","09:03","epwh","394761",100,0.0566013694029851,0.207210230597015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.335,0.9645,7.08,0.22,1.518
"16-Jun-2013","09:03","epwh","394760",144,0.0566013694029851,0.197317295597015,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.161",9.01,1.1035,10.745,0.08,0.482
"27-Jun-2013","20:10","NEEDLER","383793",2,0.354699025210084,0.0410120747899159,40.6411674642858,23.5187035382143,32.0827164768908,13.3662161006092,178,101.843095564883,6.042,270,NA,"31.144094467163086",0,0.525,0.2405,0.6195,0.055
